"YearStart","YearEnd","LocationAbbr","LocationDesc","DataSource","Topic","Question","DataValueUnit","DataValueType","DataValue","DataValueAlt","DataValueFootnoteSymbol","DatavalueFootnote","LowConfidenceLimit","HighConfidenceLimit","StratificationCategory1","Stratification1","GeoLocation","LocationID","TopicID","QuestionID","DataValueTypeID","StratificationCategoryID1","StratificationID1"
2013,2013,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","AgeAdjPrev","RACE","HIS"
2013,2013,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","CrdPrev","RACE","HIS"
2013,2013,"ME","Maine","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","White, non-Hispanic","(45.254228894000505, -68.98503133599962)","23","CAN","CAN1_0","CrdPrev","RACE","WHT"
2013,2013,"MI","Michigan","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Overall","Overall","(44.6613195430005, -84.71439026999968)","26","CAN","CAN1_0","CrdPrev","OVERALL","OVR"
2013,2013,"MI","Michigan","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"-","No data available",NA,NA,"Overall","Overall","(44.6613195430005, -84.71439026999968)","26","CAN","CAN1_0","AgeAdjPrev","OVERALL","OVR"
2013,2013,"MN","Minnesota","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Overall","Overall","(46.35564873600049, -94.79420050299967)","27","CAN","CAN1_0","CrdPrev","OVERALL","OVR"
2013,2013,"MN","Minnesota","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"-","No data available",NA,NA,"Overall","Overall","(46.35564873600049, -94.79420050299967)","27","CAN","CAN1_0","AgeAdjPrev","OVERALL","OVR"
2013,2013,"MO","Missouri","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"-","No data available",NA,NA,"Overall","Overall","(38.635790776000476, -92.56630005299968)","29","CAN","CAN1_0","AgeAdjPrev","OVERALL","OVR"
2013,2013,"MS","Mississippi","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Overall","Overall","(32.745510099000455, -89.53803082499968)","28","CAN","CAN1_0","CrdPrev","OVERALL","OVR"
2013,2013,"MS","Mississippi","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"-","No data available",NA,NA,"Overall","Overall","(32.745510099000455, -89.53803082499968)","28","CAN","CAN1_0","AgeAdjPrev","OVERALL","OVR"
